Date,Open,High,Low,Close,Volume,Adj Close
2017-04-21,0.23,0.235,0.22,0.22,59100,0.22
2017-04-20,0.205,0.21,0.205,0.205,14000,0.205
2017-04-19,0.215,0.235,0.20,0.235,378100,0.235
2017-04-18,0.215,0.215,0.215,0.215,300000,0.215
2017-04-17,0.22,0.23,0.22,0.23,51000,0.23
2017-04-14,0.22,0.22,0.22,0.22,000,0.22
2017-04-13,24349.5996,24349.5996,24349.5996,24349.5996,000,24349.5996
2017-04-12,24072.8008,24072.8008,24072.8008,24072.8008,000,24072.8008
2017-04-11,0.23,0.23,0.22,0.22,75000,0.22
2017-04-10,0.24,0.24,0.24,0.24,000,0.24
2017-04-07,0.24,0.24,0.23,0.24,60700,0.24
2017-04-06,0.225,0.24,0.225,0.24,60000,0.24
2017-04-05,0.23,0.245,0.22,0.245,100000,0.245
2017-04-04,0.22,0.22,0.22,0.22,000,0.22
2017-04-03,0.22,0.22,0.22,0.22,65000,0.22
2017-03-31,0.25,0.25,0.25,0.25,000,0.25
2017-03-30,0.215,0.25,0.215,0.25,105000,0.25
2017-03-29,0.22,0.22,0.215,0.215,90000,0.215
2017-03-28,0.22,0.22,0.22,0.22,64000,0.22
2017-03-27,0.22,0.22,0.22,0.22,80000,0.22
2017-03-24,0.22,0.23,0.22,0.225,100500,0.225
2017-03-23,0.22,0.22,0.22,0.22,000,0.22
2017-03-22,0.22,0.22,0.22,0.22,48000,0.22
2017-03-21,0.22,0.22,0.22,0.22,125000,0.22
2017-03-20,0.225,0.23,0.21,0.23,31000,0.23
2017-03-17,0.23,0.245,0.20,0.245,368500,0.245
2017-03-16,0.24,0.24,0.24,0.24,000,0.24
2017-03-15,0.235,0.24,0.235,0.24,75000,0.24
2017-03-14,0.24,0.24,0.24,0.24,50000,0.24
2017-03-13,0.24,0.26,0.24,0.26,33000,0.26
2017-03-10,0.23,0.23,0.225,0.225,25000,0.225
2017-03-09,0.225,0.225,0.225,0.225,1000,0.225
2017-03-08,0.24,0.24,0.215,0.22,78000,0.22
2017-03-07,0.26,0.26,0.25,0.25,41000,0.25
2017-03-06,0.27,0.27,0.25,0.25,85000,0.25
2017-03-03,0.25,0.27,0.25,0.27,11000,0.27
2017-03-02,0.27,0.27,0.25,0.25,82000,0.25
2017-03-01,0.27,0.27,0.25,0.27,228000,0.27
2017-02-28,0.23,0.23,0.23,0.23,000,0.23
2017-02-27,0.23,0.23,0.23,0.23,000,0.23
2017-02-24,0.24,0.25,0.23,0.23,91000,0.23
2017-02-23,0.22,0.29,0.22,0.275,380400,0.275
2017-02-22,0.20,0.23,0.195,0.225,264600,0.225
2017-02-21,0.20,0.20,0.20,0.20,000,0.20
2017-02-20,0.20,0.20,0.20,0.20,000,0.20
2017-02-17,0.195,0.20,0.195,0.20,3500,0.20
2017-02-16,0.19,0.19,0.19,0.19,9500,0.19
2017-02-15,0.195,0.195,0.195,0.195,000,0.195
2017-02-14,0.19,0.195,0.185,0.195,38500,0.195
2017-02-13,0.19,0.19,0.19,0.19,000,0.19
2017-02-10,0.195,0.20,0.19,0.19,257200,0.19
2017-02-09,0.22,0.23,0.22,0.23,33000,0.23
2017-02-08,0.235,0.235,0.225,0.225,40500,0.225
2017-02-07,0.21,0.22,0.20,0.22,252700,0.22
2017-02-06,0.21,0.21,0.19,0.195,186000,0.195
2017-02-03,0.205,0.205,0.19,0.19,10000,0.19
2017-02-02,0.205,0.205,0.205,0.205,15000,0.205
2017-02-01,0.195,0.205,0.195,0.205,57500,0.205
2017-01-31,0.21,0.21,0.20,0.20,23500,0.20
2017-01-30,0.20,0.24,0.20,0.20,58500,0.20
2017-01-27,0.205,0.22,0.205,0.21,89000,0.21
2017-01-26,0.20,0.20,0.20,0.20,500,0.20
2017-01-25,0.23,0.23,0.205,0.225,155400,0.225
2017-01-24,0.21,0.225,0.205,0.225,82400,0.225
2017-01-23,0.215,0.215,0.215,0.215,4500,0.215
2017-01-20,0.215,0.22,0.215,0.22,60000,0.22
2017-01-19,0.215,0.23,0.215,0.215,145000,0.215
2017-01-18,0.21,0.215,0.195,0.215,122400,0.215
2017-01-17,0.205,0.205,0.205,0.205,000,0.205
2017-01-16,0.205,0.205,0.205,0.205,000,0.205
2017-01-13,0.22,0.22,0.20,0.205,81000,0.205
2017-01-12,0.22,0.225,0.22,0.225,154000,0.225
2017-01-11,0.18,0.21,0.18,0.21,29000,0.21
